Name,PLZ,Bundesland,Bettanzahl,Intensivbette
Eisenstadt BBR KH,7000,Burgenland,352,30
Güssing LKH,7540,Burgenland,109,10
Kittsee LKH,2421,Burgenland,95,10
Oberpullendorf LKH,7350,Burgenland,122,12
Oberwart LKH,7400,Burgenland,300,22
Friesach BSRD KH,9360,Kärnten,146,5
Gailtal KL,9620,Kärnten,42,0
Klagenfurt LKH / Klagenfurt,9020,Kärnten,1123,107
Klagenfurt ELISAB KH,9020,Kärnten,138,4
Klagenfurt UKH,9020,Kärnten,100,10
Klagenfurt PKL,9020,Kärnten,160,0
Laas LKH,9640,Kärnten,66,3
St Veit/Glan BBR KH,9300,Kärnten,146,7
Spittal/Drau KH,9800,Kärnten,199,6
Villach LKH / Villach,9500,Kärnten,532,33
Villach LKH / Warmbad (K228),9504,Kärnten,55,0
Waiern KH,9560,Kärnten,56,0
Wolfsberg LKH,9400,Kärnten,216,10
Winklern SKA,9521,Kärnten,56,0
Villach PKL,9504,Kärnten,152,0
Amstetten LKL,3300,Niederoesterreich,347,28
Hochegg LKL,2840,Niederoesterreich,181,6
Hainburg LKL,2410,Niederoesterreich,122,5
Hollabrunn LKL,2020,Niederoesterreich,197,10
Klosterneuburg LKL,3400,Niederoesterreich,127,4
Krems UnivKL,3500,Niederoesterreich,456,20
Mauer LKL,3362,Niederoesterreich,388,0
Melk LKL,3390,Niederoesterreich,166,6
Mistelbach LKL / Mistelbach,2130,Niederoesterreich,524,27
Neunkirchen LKL,2620,Niederoesterreich,324,12
Scheibbs LKL,3270,Niederoesterreich,178,6
Waidhofen/Ybbs LKL,3340,Niederoesterreich,154,6
Wiener Neustadt LKL,2700,Niederoesterreich,769,60
Horn-Allentsteig LKL / Horn (ehem. K320),3580,Niederoesterreich,298,19
Horn-Allentsteig LKL / Allensteig (ehem. K302),3804,Niederoesterreich,65,0
Korneuburg-Stockerau LKL / Korneuburg (ehem. K325),2100,Niederoesterreich,140,7
Korneuburg-Stockerau LKL / Stockerau (ehem. K349),2000,Niederoesterreich,119,5
Tulln UnivKL / Standort 3430 Tulln an der Donau,3430,Niederoesterreich,416,19
Baden-Mödling-Hinterbrühl LKL / Mödling (ehem. K336),2340,Niederoesterreich,285,18
Baden-Mödling-Hinterbrühl LKL / Baden (ehem. K304),2500,Niederoesterreich,348,19
Baden-Mödling-Hinterbrühl LKL / Hinterbrühl,2371,Niederoesterreich,30,0
St Pölten-LF UnivKL / St Pölten (ehem. K346),3100,Niederoesterreich,863,83
St Pölten-LF UnivKL / Lilienfeld (ehem. K331),3180,Niederoesterreich,130,4
Gmünd-W/T-Zwettl LKL / Zwettl (ehem. K358),3910,Niederoesterreich,262,15
Gmünd-W/T-Zwettl LKL / Gmünd (ehem. K314),3950,Niederoesterreich,128,5
Gmünd-W/T-Zwettl LKL / Waidhofen/Thaya (ehem. K353),3830,Niederoesterreich,169,9
Eggenburg SKA,3730,Niederoesterreich,100,0
Braunau  KH St  Josef,5280,Oberoesterreich,362,16
Freistadt KL,4240,Oberoesterreich,165,6
Hörsching HSA,4063,Oberoesterreich,47,0
Linz BBR KH,4020,Oberoesterreich,304,14
Linz BSRV KH,4020,Oberoesterreich,618,24
Linz ELISAB KH,4020,Oberoesterreich,441,24
Linz UKH,4021,Oberoesterreich,153,15
Linz DIA KH,4020,Oberoesterreich,102,0
Ried/Innkr BSRV KH,4910,Oberoesterreich,401,17
Schärding KL,4780,Oberoesterreich,152,6
Sierning BSRK SKH,4522,Oberoesterreich,90,0
Wels-Grieskirchen KL / Wels,4600,Oberoesterreich,987,45
Wels-Grieskirchen KL / Grieskirchen (ehem. K412),4710,Oberoesterreich,208,4
Rohrbach KL,4150,Oberoesterreich,198,6
Pyhrn-Eisenwurzen KL / Steyr (ehem. K431),4400,Oberoesterreich,620,30
Pyhrn-Eisenwurzen KL / Kirchdorf/Krems (ehem. K415),4560,Oberoesterreich,219,9
Linz Kepler UnivKL / Med Campus III (ehem. K416),4020,Oberoesterreich,813,48
Linz Kepler UnivKL / Neuromed Campus (ehem. K425),4020,Oberoesterreich,644,22
Linz Kepler UnivKL / Med Campus IV (ehem. K449),4020,Oberoesterreich,276,50
Gmunden-Bad Ischl-Vöcklabr KL / Vöcklabruck (ehem. K433),4840,Oberoesterreich,539,25
Gmunden-Bad Ischl-Vöcklabr KL / Bad Ischl (ehem. K404),4820,Oberoesterreich,221,6
Gmunden-Bad Ischl-Vöcklabr KL / Gmunden (ehem. K411),4810,Oberoesterreich,253,12
Hallein LKL,5400,Salzburg,107,4
Oberndorf KH,5110,Salzburg,80,5
Obertauern KA,5562,Salzburg,3,0
Puch/Hallein SAN,5412,Salzburg,12,0
Radstadt KH,5550,Salzburg,13,0
Salzburg LKA,5020,Salzburg,891,82
Salzburg UKH,5020,Salzburg,136,12
Salzburg Wehrle-DIA PKL,5020,Salzburg,116,5
Salzburg BBR KH,5010,Salzburg,235,10
Salzburg LNKL / Salzburg (K528),5020,Salzburg,465,22
St Veit LKL,5621,Salzburg,87,0
Schwarzach/Pongau KL / Schwarzach,5620,Salzburg,418,26
Schwarzach/Pongau KL / St Veit (in K533),5621,Salzburg,20,0
Tamsweg LKH,5580,Salzburg,105,4
Zell/See-Mittersill TauernKL / Zell/See,5700,Salzburg,253,10
