"Bundesland";"01.01.2018";"01.01.2019";"01.01.2020";"01.01.2021";"01.01.2022";"01.07.2022"
"Österreich";"8822267";"8858775";"8901064";"8932664";"8978929";"9061848"
"Burgenland";"292675";"293433";"294436";"296010";"297583";"300457"
"Kärnten";"560898";"560939";"561293";"562089";"564513";"567644"
"Niederösterreich";"1670668";"1677542";"1684287";"1690879";"1698796";"1713465"
"Oberösterreich";"1473576";"1482095";"1490279";"1495608";"1505140";"1517477"
"Salzburg";"552579";"555221";"558410";"560710";"562606";"566751"
"Steiermark";"1240214";"1243052";"1246395";"1247077";"1252922";"1260417"
"Tirol";"751140";"754705";"757634";"760105";"764102";"768443"
"Vorarlberg";"391741";"394297";"397139";"399237";"401674";"404415"
"Wien";"1888776";"1897491";"1911191";"1920949";"1931593";"1962779"
